GeneID;X;Length;X.1;NoCys;FractCys;X.2;species.specific;genus.specific;X.3;invitro_1;invitro_2;invitro_3;minusP_1;minusP10_2;minusP10_3;minusP24_1;minusP24_2;minusP24_3;X.4;minusP_10dpi.IV;minusP_24dpi.IV;X.5;dN.dS;gfam
CI_12311;NA;260;NA;0;0;NA;;Y;NA;2.732053849;1.144113505;1.205160548;4.983376163;4.098840888;3.160983108;9.20187894;12.12334416;18.46180974;NA;;up in planta;NA;NA;NA
CI_12367;NA;124;NA;3;2.42;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_12419;NA;165;NA;6;3.64;NA;;Y;NA;47.7891606;61.10524536;60.22743957;3.281735522;2.091245351;2.345245531;2.421547089;11.09157019;3.223490589;NA;up in vitro;up in vitro;NA;NA;NA
CI_12520;NA;322;NA;9;2.8;NA;;Y;NA;0.143137218;0.257575292;0.165174288;4.254101603;1.923945723;3.77278629;6.296022433;1.805604449;3.223490589;NA;up in planta;up in planta;NA;NA;NA
CI_12557;NA;108;NA;3;2.78;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_12577;NA;108;NA;6;5.56;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_12644;NA;260;NA;11;4.23;NA;Y;;NA;15.78865744;10.15325859;6.686499893;8.629748966;13.1330208;13.5616372;9.20187894;13.67100512;5.56784738;NA;;;NA;NA;NA
CI_12686;NA;141;NA;4;2.84;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_12815;NA;116;NA;6;5.17;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_12872;NA;120;NA;8;6.67;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_12909;NA;274;NA;9;3.28;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_12921;NA;61;NA;0;0;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_13020;NA;343;NA;7;2.04;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_13069;NA;356;NA;5;1.4;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_13150;NA;122;NA;5;4.1;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_13199;NA;148;NA;4;2.7;NA;Y;;NA;12.19155692;2.05461221;2.391968397;1.823186401;2.760443863;4.384589472;2.421547089;7.480361289;4.981758182;NA;up in vitro;;NA;NA;NA
CI_13469;NA;140;NA;5;3.57;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CI_13568;NA;80;NA;3;3.75;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CT04_00155;NA;71;NA;1;1.41;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.59210032231194;gfam_10550
CT04_00222;NA;103;NA;4;3.88;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.315476180474623;gfam_9410
CT04_00229;NA;233;NA;0;0;NA;;Y;NA;1.143772155;2.03513649;3.234333085;16.02346409;13.42271745;15.91182085;197.4564781;138.0873767;200;NA;up in planta;up in planta;NA;0.448833548906492;gfam_9638
CT04_00277;NA;103;NA;6;5.83;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.459374583267111;gfam_10485
CT04_00508;NA;668;NA;16;2.4;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.426599733081085;gfam_10983
CT04_00621;NA;158;NA;2;1.27;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.484386402017591;gfam_9656
CT04_00782;NA;567;NA;1;0.18;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.483227216062505;gfam_9299
CT04_00833;NA;73;NA;8;10.96;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.448832073406759;gfam_10304
CT04_00924;NA;123;NA;5;4.07;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.550774320909044;gfam_11238
CT04_01126;NA;116;NA;1;0.86;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.36992428077758;gfam_9474
CT04_01252;NA;399;NA;2;0.5;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.553554438396546;gfam_8895
CT04_01302;NA;106;NA;0;0;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.376239326153344;gfam_11347
CT04_01323;NA;172;NA;13;7.56;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.0907646572970005;gfam_9531
CT04_01337;NA;120;NA;1;0.83;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11708
CT04_01355;NA;133;NA;14;10.53;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.441625897085427;gfam_9780
CT04_01380;NA;109;NA;3;2.75;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.39804431763117;gfam_970
CT04_01555;NA;538;NA;4;0.74;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.406944324732136;gfam_1421
CT04_01629;NA;142;NA;10;7.04;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.38130378537032;gfam_9749
CT04_01742;NA;96;NA;8;8.33;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.377297544483991;gfam_10897
CT04_01748;NA;107;NA;6;5.61;NA;;Y;NA;0.447563017;0.782744804;0.855672147;6.544795192;9.6847455;5.542319622;3.134229811;1.222012184;0.935569606;NA;up in planta;;NA;0.506611517066645;gfam_11298
CT04_01776;NA;287;NA;1;0.35;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.31524705901198;gfam_10944
CT04_01812;NA;122;NA;8;6.56;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.352241472730266;gfam_12111
CT04_01886;NA;374;NA;10;2.67;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.503878211619296;gfam_11725
CT04_02231;NA;205;NA;0;0;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.24375174121623;gfam_10309
CT04_02234;NA;133;NA;2;1.5;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_6971
CT04_02249;NA;164;NA;6;3.66;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.234960077345972;gfam_6313
CT04_02330;NA;211;NA;1;0.47;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.414405129235123;gfam_11441
CT04_02431;NA;127;NA;4;3.15;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.310430886709396;gfam_9258
CT04_02592;NA;224;NA;0;0;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.288937652191202;gfam_10436
CT04_02731;NA;615;NA;13;2.11;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.440346217967426;gfam_8262
CT04_02762;NA;108;NA;6;5.56;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.303239109534018;gfam_9937
CT04_02884;NA;259;NA;1;0.39;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.30609392086142;gfam_9799
CT04_02888;NA;118;NA;6;5.08;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.377988786337645;gfam_9182
CT04_02913;NA;94;NA;1;1.06;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11757
CT04_02934;NA;99;NA;2;2.02;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11758
CT04_03039;NA;93;NA;8;8.6;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.424786470920111;gfam_9588
CT04_03186;NA;396;NA;4;1.01;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.364296764496316;gfam_355
CT04_03189;NA;117;NA;3;2.56;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CT04_03257;NA;460;NA;7;1.52;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.228970519785493;gfam_12174
CT04_03258;NA;99;NA;6;6.06;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.317067005762394;gfam_12041
CT04_03375;NA;288;NA;12;4.17;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.419494737648128;gfam_8513
CT04_03391;NA;59;NA;1;1.69;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.273051479112621;gfam_10552
CT04_04055;NA;152;NA;5;3.29;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11787
CT04_04095;NA;194;NA;1;0.52;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.296084552649031;gfam_10883
CT04_04204;NA;82;NA;0;0;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11793
CT04_04209;NA;159;NA;6;3.77;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.316347481397769;gfam_10738
CT04_04293;NA;95;NA;10;10.53;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.207943215170139;gfam_8485
CT04_04296;NA;99;NA;4;4.04;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.329559331269273;gfam_9479
CT04_04305;NA;108;NA;9;8.33;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.337417092754056;gfam_8411
CT04_04320;NA;165;NA;4;2.42;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.191842997857219;gfam_11125
CT04_04385;NA;109;NA;8;7.34;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.161321140745963;gfam_10830
CT04_04502;NA;113;NA;6;5.31;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.216153563093387;gfam_8542
CT04_04741;NA;137;NA;3;2.19;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CT04_04758;NA;140;NA;4;2.86;NA;Y;;NA;0.944855259;0.716829452;0.145302817;11.05844705;11.38382366;6.257457638;15.67114906;8.554085285;2.806708818;NA;up in planta;up in planta;NA;NA;gfam_12253
CT04_04946;NA;120;NA;4;3.33;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.439977037005923;gfam_9015
CT04_04972;NA;184;NA;7;3.8;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.257929690734419;gfam_11418
CT04_05070;NA;268;NA;12;4.48;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.464681651816928;gfam_9975
CT04_05477;NA;144;NA;4;2.78;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.3022643232131;gfam_10310
CT04_05635;NA;256;NA;1;0.39;NA;;Y;NA;2.237815086;1.606686703;1.867410284;7.898890749;3.907879763;4.469612599;3.134229811;3.666036551;8.420126454;NA;up in planta;up in planta;NA;0.436123826900845;gfam_9907
CT04_05793;NA;81;NA;1;1.23;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11840
CT04_06083;NA;346;NA;14;4.05;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.48992476711542;gfam_8237
CT04_06120;NA;204;NA;6;2.94;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.415880046916828;gfam_11859
CT04_06122;NA;138;NA;6;4.35;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.311716466407552;gfam_10445
CT04_06236;NA;140;NA;8;5.71;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.259566386395841;gfam_11029
CT04_06246;NA;60;NA;1;1.67;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CT04_06257;NA;127;NA;2;1.57;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.47060810981934;gfam_11262
CT04_06261;NA;85;NA;8;9.41;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.396737588733869;gfam_9430
CT04_06293;NA;97;NA;4;4.12;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.356605221918267;gfam_11523
CT04_06497;NA;85;NA;5;5.88;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CT04_06689;NA;252;NA;7;2.78;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.432876640065638;gfam_7156
CT04_07148;NA;148;NA;7;4.73;NA;;Y;NA;180.367896;191.2451541;187.876543;117.1292657;137.7952386;118.5341261;134.7718819;113.6471331;113.2039223;NA;;;NA;0.379130923585251;gfam_3711
CT04_07149;NA;247;NA;0;0;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.231879848898717;gfam_8543
CT04_07452;NA;91;NA;3;3.3;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.497107601913857;gfam_10833
CT04_07581;NA;190;NA;10;5.26;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.271425615958579;gfam_10041
CT04_07583;NA;66;NA;6;9.09;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.268928302331703;gfam_10837
CT04_07585;NA;210;NA;12;5.71;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.243344161231387;gfam_10040
CT04_07807;NA;143;NA;2;1.4;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.401321744926289;gfam_14484
CT04_08057;NA;73;NA;0;0;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.338201171733334;gfam_11343
CT04_08216;NA;148;NA;8;5.41;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.417469996444974;gfam_9866
CT04_08444;NA;132;NA;1;0.76;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11921
CT04_08677;NA;165;NA;2;1.21;NA;Y;;NA;3.530774914;5.100200353;4.17072902;5.642064821;9.005114237;3.754474583;3.134229811;8.554085285;14.03354409;NA;;;NA;NA;NA
CT04_08796;NA;78;NA;6;7.69;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.186156025371761;gfam_11357
CT04_08933;NA;111;NA;0;0;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.455879981526457;gfam_8739
CT04_08969;NA;109;NA;6;5.5;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.298611585402293;gfam_9388
CT04_09149;NA;87;NA;2;2.3;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CT04_09162;NA;237;NA;3;1.27;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11941
CT04_09390;NA;516;NA;4;0.78;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.369638861162479;gfam_9814
CT04_09467;NA;84;NA;6;7.14;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.218199030003976;gfam_10326
CT04_09572;NA;95;NA;5;5.26;NA;;Y;NA;0.248646121;0.057675933;0.059197444;7.898890749;15.12179561;17.34209688;13.58166252;15.88615839;4.67784803;NA;up in planta;up in planta;NA;0.08695803992657;gfam_9719
CT04_09599;NA;77;NA;8;10.39;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.216212973764575;gfam_8495
CT04_09691;NA;67;NA;2;2.99;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.33965074334215;gfam_10705
CT04_09771;NA;268;NA;8;2.99;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.477553195230756;gfam_6608
CT04_09789;NA;133;NA;0;0;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.357635776180729;gfam_6609
CT04_09804;NA;121;NA;2;1.65;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_14493
CT04_10153;NA;104;NA;4;3.85;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CT04_10374;NA;120;NA;4;3.33;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.252215533836504;gfam_11333
CT04_10528;NA;209;NA;1;0.48;NA;;Y;NA;3.033482673;14.08116705;17.15111405;1.57977815;0.849539079;1.609060536;47.01344717;45.21445079;73.90999887;NA;up in planta;up in planta;NA;0.603072157875207;gfam_8728
CT04_10561;NA;234;NA;4;1.71;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.228970519785493;gfam_12174
CT04_10602;NA;249;NA;5;2.01;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.287299185139776;gfam_11247
CT04_10662;NA;69;NA;8;11.59;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.729554818897349;gfam_9781
CT04_10683;NA;237;NA;0;0;NA;;Y;NA;2.436731983;9.401177065;9.552314853;20.98848113;18.18013629;9.118009701;200;200;200;NA;;up in planta;NA;0.520698989913817;gfam_9716
CT04_10766;NA;201;NA;4;1.99;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_12220
CT04_10768;NA;180;NA;6;3.33;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11613
CT04_10804;NA;246;NA;3;1.22;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11616
CT04_10907;NA;165;NA;0;0;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11622
CT04_11091;NA;209;NA;6;2.87;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.352679586354732;gfam_9772
CT04_11124;NA;435;NA;12;2.76;NA;Y;;NA;38.9379825;25.36917106;23.77046462;11.05844705;13.08290182;10.54828573;21.93960868;1.222012184;25.26037936;NA;up in planta;up in planta;NA;NA;NA
CT04_11158;NA;91;NA;0;0;NA;;Y;NA;0.149187672;1.639644378;1.318488529;3.385238892;1.529170342;3.396905575;74.1767722;57.43457263;92.62139099;NA;up in planta;up in planta;NA;NA;gfam_11633
CT04_11194;NA;491;NA;1;0.2;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_12221
CT04_11272;NA;86;NA;8;9.3;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.33177189592108;gfam_8892
CT04_11343;NA;510;NA;9;1.76;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.559444973929176;gfam_11161
CT04_11428;NA;94;NA;1;1.06;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11645
CT04_11550;NA;88;NA;1;1.14;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.579004033371496;gfam_11195
CT04_11579;NA;130;NA;8;6.15;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.224306230388943;gfam_10036
CT04_11676;NA;118;NA;9;7.63;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.273320053953425;gfam_10246
CT04_11708;NA;363;NA;5;1.38;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.141414498716894;gfam_7786
CT04_11716;NA;660;NA;15;2.27;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.457258549013187;gfam_11426
CT04_11949;NA;109;NA;0;0;NA;;Y;NA;3.431316466;4.012597047;4.612019059;9.704351491;10.02456113;9.475578709;17.7606356;3.666036551;6.548987242;NA;up in planta;;NA;0.265792143856917;gfam_9091
CT04_11975;NA;101;NA;8;7.92;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.164252479605438;gfam_7142
CT04_12042;NA;821;NA;1;0.12;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;1.06943970666449;gfam_11227
CT04_12051;NA;214;NA;10;4.67;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.357695736113882;gfam_10461
CT04_12160;NA;193;NA;7;3.63;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;NA
CT04_12409;NA;245;NA;9;3.67;NA;Y;;NA;13.27770285;10.73596294;10.57481616;10.15571668;13.08290182;11.97856176;11.49217598;13.44213402;14.03354409;NA;;;NA;NA;NA
CT04_12418;NA;320;NA;0;0;NA;;Y;NA;6.713445259;4.342173806;4.159965849;8.80162112;13.76253308;7.68773367;36.56601447;25.66225585;21.51810094;NA;up in planta;up in planta;NA;NA;gfam_11679
CT04_12469;NA;183;NA;7;3.83;NA;Y;;NA;95.72875647;130.5700727;138.3336638;141.0516205;114.0081444;127.1157823;200;125.8672549;195.5340476;NA;;;NA;NA;NA
CT04_12530;NA;218;NA;4;1.83;NA;;Y;NA;16.85820698;10.48878037;9.939789033;11.96117742;13.42271745;8.045302678;13.58166252;20.77420712;8.420126454;NA;;;NA;0.270710911748858;gfam_8877
CT04_12692;NA;107;NA;1;0.93;NA;Y;;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11685
CT04_12761;NA;155;NA;0;0;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.220334058415937;gfam_9376
CT04_12762;NA;186;NA;4;2.15;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;NA;gfam_11688
CT04_12851;NA;165;NA;6;3.64;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.421987976172051;gfam_6778
CT04_13237;NA;59;NA;4;6.78;NA;;Y;NA;nd;nd;nd;nd;nd;nd;nd;nd;nd;NA;;;NA;0.237349173122389;gfam_11500
CT04_13238;NA;88;NA;3;3.41;NA;Y;;NA;3.232399569;8.148785379;8.357602798;15.5720989;15.80142687;11.97856176;15.67114906;8.554085285;14.03354409;NA;;;NA;NA;NA
CT04_13259;NA;761;NA;15;1.97;NA;;Y;NA;0.348104569;1.128800401;1.113988267;5.190699635;8.665298605;4.827181607;1.04474327;1.222012184;0.935569606;NA;up in planta;;NA;0.469270561207595;gfam_11428
