
GeneID;;Length;;NoCys;FractCys;;species-specific;genus-specific;;invitro_1;invitro_2;invitro_3;minusP_1;minusP10_2;minusP10_3;minusP24_1;minusP24_2;minusP24_3;;minusP_10dpi/IV;minusP_24dpi/IV;;dN/dS
CT04_02888;;118;;6;5.08;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_02913;;94;;1;1.06;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_02934;;99;;2;2.02;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_03039;;93;;8;8.6;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_03186;;396;;4;1.01;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_03189;;117;;3;2.56;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_03257;;460;;7;1.52;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_03258;;99;;6;6.06;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_03375;;288;;12;4.17;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_03391;;59;;1;1.69;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04055;;152;;5;3.29;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04095;;194;;1;0.52;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04204;;82;;0;0;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04209;;159;;6;3.77;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04293;;95;;10;10.53;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04296;;99;;4;4.04;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04305;;108;;9;8.33;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04320;;165;;4;2.42;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04385;;109;;8;7.34;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04502;;113;;6;5.31;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04741;;137;;3;2.19;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04758;;140;;4;2.86;;Y;;;0.944855259;0.716829452;0.145302817;11.05844705;11.38382366;6.257457638;15.67114906;8.554085285;2.806708818;;up in planta;up in planta;;
CT04_04946;;120;;4;3.33;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_04972;;184;;7;3.8;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_05070;;268;;12;4.48;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_05477;;144;;4;2.78;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_05635;;256;;1;0.39;;;Y;;2.237815086;1.606686703;1.867410284;7.898890749;3.907879763;4.469612599;3.134229811;3.666036551;8.420126454;;up in planta;up in planta;;
CT04_05793;;81;;1;1.23;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_06083;;346;;14;4.05;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_06120;;204;;6;2.94;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_06122;;138;;6;4.35;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_06236;;140;;8;5.71;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_06246;;60;;1;1.67;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_06257;;127;;2;1.57;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_06261;;85;;8;9.41;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_06293;;97;;4;4.12;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_06497;;85;;5;5.88;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_06689;;252;;7;2.78;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_07148;;148;;7;4.73;;;Y;;180.367896;191.2451541;187.876543;117.1292657;137.7952386;118.5341261;134.7718819;113.6471331;113.2039223;;;;;
CT04_07149;;247;;0;0;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_07452;;91;;3;3.3;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_07581;;190;;10;5.26;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_07583;;66;;6;9.09;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_07585;;210;;12;5.71;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_07807;;143;;2;1.4;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_08057;;73;;0;0;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_08216;;148;;8;5.41;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_08444;;132;;1;0.76;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_08677;;165;;2;1.21;;Y;;;3.530774914;5.100200353;4.17072902;5.642064821;9.005114237;3.754474583;3.134229811;8.554085285;14.03354409;;;;;
CT04_08796;;78;;6;7.69;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_08933;;111;;0;0;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_08969;;109;;6;5.5;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_09149;;87;;2;2.3;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_09162;;237;;3;1.27;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_09390;;516;;4;0.78;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_09467;;84;;6;7.14;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_09572;;95;;5;5.26;;;Y;;0.248646121;0.057675933;0.059197444;7.898890749;15.12179561;17.34209688;13.58166252;15.88615839;4.67784803;;up in planta;up in planta;;
CT04_09599;;77;;8;10.39;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_09691;;67;;2;2.99;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_09771;;268;;8;2.99;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_09789;;133;;0;0;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_09804;;121;;2;1.65;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_10153;;104;;4;3.85;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_10374;;120;;4;3.33;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_10528;;209;;1;0.48;;;Y;;3.033482673;14.08116705;17.15111405;1.57977815;0.849539079;1.609060536;47.01344717;45.21445079;73.90999887;;up in planta;up in planta;;
CT04_10561;;234;;4;1.71;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_10602;;249;;5;2.01;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_10662;;69;;8;11.59;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_10683;;237;;0;0;;;Y;;2.436731983;9.401177065;9.552314853;20.98848113;18.18013629;9.118009701;200;200;200;;;up in planta;;
CT04_10766;;201;;4;1.99;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_10768;;180;;6;3.33;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_10804;;246;;3;1.22;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_10907;;165;;0;0;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11091;;209;;6;2.87;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11124;;435;;12;2.76;;Y;;;38.9379825;25.36917106;23.77046462;11.05844705;13.08290182;10.54828573;21.93960868;1.222012184;25.26037936;;up in planta;up in planta;;
CT04_11158;;91;;0;0;;;Y;;0.149187672;1.639644378;1.318488529;3.385238892;1.529170342;3.396905575;74.1767722;57.43457263;92.62139099;;up in planta;up in planta;;
CT04_11194;;491;;1;0.2;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11272;;86;;8;9.3;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11343;;510;;9;1.76;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11428;;94;;1;1.06;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11550;;88;;1;1.14;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11579;;130;;8;6.15;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11676;;118;;9;7.63;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11708;;363;;5;1.38;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11716;;660;;15;2.27;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_11949;;109;;0;0;;;Y;;3.431316466;4.012597047;4.612019059;9.704351491;10.02456113;9.475578709;17.7606356;3.666036551;6.548987242;;up in planta;;;
CT04_11975;;101;;8;7.92;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_12042;;821;;1;0.12;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_12051;;214;;10;4.67;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_12160;;193;;7;3.63;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_12409;;245;;9;3.67;;Y;;;13.27770285;10.73596294;10.57481616;10.15571668;13.08290182;11.97856176;11.49217598;13.44213402;14.03354409;;;;;
CT04_12418;;320;;0;0;;;Y;;6.713445259;4.342173806;4.159965849;8.80162112;13.76253308;7.68773367;36.56601447;25.66225585;21.51810094;;up in planta;up in planta;;
CT04_12469;;183;;7;3.83;;Y;;;95.72875647;130.5700727;138.3336638;141.0516205;114.0081444;127.1157823;200;125.8672549;195.5340476;;;;;
CT04_12530;;218;;4;1.83;;;Y;;16.85820698;10.48878037;9.939789033;11.96117742;13.42271745;8.045302678;13.58166252;20.77420712;8.420126454;;;;;
CT04_12692;;107;;1;0.93;;Y;;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_12761;;155;;0;0;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_12762;;186;;4;2.15;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_12851;;165;;6;3.64;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_13237;;59;;4;6.78;;;Y;;nd;nd;nd;nd;nd;nd;nd;nd;nd;;;;;
CT04_13238;;88;;3;3.41;;Y;;;3.232399569;8.148785379;8.357602798;15.5720989;15.80142687;11.97856176;15.67114906;8.554085285;14.03354409;;;;;
CT04_13259;;761;;15;1.97;;;Y;;0.348104569;1.128800401;1.113988267;5.190699635;8.665298605;4.827181607;1.04474327;1.222012184;0.935569606;;up in planta;;;
